SRX5801452	STAT3	Blood	Th2 Cells	source_name=primary human TH1 cells	cell type=Human TH1 cells	stimulated with=IL6_A1											
SRX5801453	STAT3	Blood	Th2 Cells	source_name=primary human TH1 cells	cell type=Human TH1 cells	stimulated with=IL6_C7											
SRX5801454	STAT3	Blood	Th2 Cells	source_name=primary human TH1 cells	cell type=Human TH1 cells	stimulated with=IL6_Mut3											
SRX5801455	STAT3	Blood	Th2 Cells	source_name=primary human TH1 cells	cell type=Human TH1 cells	stimulated with=IL6_HyIl6											
SRX5813557	EZH2	Epidermis	Dermal fibroblast	source_name=Dermal Fibroblasts	neoplastic stage=preneoplastic												
SRX5813558	EZH2	Epidermis	Dermal fibroblast	source_name=Dermal Fibroblasts	neoplastic stage=transformed												
SRX5927380	CTCF	Uterus	Fallopian Tubes	source_name=Normal human fallopian tube tissue	cell line=FT282	expressed vector=FT282 stably expressing Empty Vector (EV)											
SRX5927381	CTCF	Uterus	Fallopian Tubes	source_name=Normal human fallopian tube tissue	cell line=FT282	expressed vector=FT282 stably expressing BORIS											
SRX5927382	CTCFL	Uterus	Fallopian Tubes	source_name=Normal human fallopian tube tissue	cell line=FT282	expressed vector=FT282 stably expressing BORIS											
SRX627428	SPI1	Blood	Dendritic Cells	source_name=Dendritic cells	cell type=Monocyte-derived denditric cells												
SRX627430	SPI1	Blood	Dendritic Cells	source_name=Dendritic cells	cell type=Monocyte-derived denditric cells												
SRX6384907	KDM1A	Epidermis	Keratinocytes	source_name=GSK LSD1	cell type=Normal Human Epidermal Keratinocyte	passages=6-8	treatment=GSK-LSD1 (2 mM) for 2 days										
SRX6384908	KDM1A	Epidermis	Keratinocytes	source_name=GSK LSD1	cell type=Normal Human Epidermal Keratinocyte	passages=6-8	treatment=GSK-LSD1 (2 mM) for 2 days										
SRX646125	EED	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EED ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646126	SUZ12	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), SUZ12 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646127	EZH1	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH1 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646128	EZH1	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH1 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646129	EZH2	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH2 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646130	EZH2	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH2 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646131	EZH1	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH1_shNT ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646132	EZH1	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH1_shEZH2 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646133	EZH2	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH2_shNT ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646134	EZH2	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), EZH2_shEZH2 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646135	NFE2	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), NFE2 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX646136	TAL1	Blood	Erythroblasts	"source_name=Human primary fetal liver proerythroblasts (ProEs), TAL1 ChIP"	tissue=fetal liver	cell type=CD34+ HSPC-derived proerythroblasts											
SRX6476497	SMAD2	Cardiovascular	Aortic smooth muscle cells	source_name=primary cells	cell type=HASMC (Human Aortic Smooth Muscle Cells)	passages=10	treatment=Treated with PBS										
SRX6476500	SMAD2	Cardiovascular	Aortic smooth muscle cells	source_name=primary cells	cell type=HASMC (Human Aortic Smooth Muscle Cells)	passages=10	treatment=Treated with TGFB1										
SRX6582172	JUN	Others	Fibroblasts	source_name=AG11498 HGPS fibroblast	lmna genotype=LMNA G608G	transgene=No	cell sorting=No sorting										
SRX6582173	LMNA	Others	Fibroblasts	source_name=AG11498 HGPS fibroblast	lmna genotype=LMNA G608G	transgene=No	cell sorting=No sorting										
SRX6582174	LMNA	Others	Fibroblasts	source_name=AG11498 HGPS fibroblast	lmna genotype=LMNA G608G	transgene=No	cell sorting=No sorting										
SRX658606	TAL1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells	cell type=CD133+ expanded UCB	cell number=1 million	library prep protocol=Illumina ChIP-seq	replicate=1									
SRX658607	TAL1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells	cell type=CD133+ expanded UCB	cell number=1 million	library prep protocol=Illumina ChIP-seq	replicate=1									
SRX6596842	EGR1	Others	Fibroblasts	source_name=hBJV600E_ethanol and DMSO_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=ethanol	treatment=DMSO									
SRX6596843	EGR1	Others	Fibroblasts	source_name=hBJV600E_ethanol and DMSO_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=ethanol	treatment=DMSO									
SRX6596844	EGR1	Others	Fibroblasts	source_name=hBJV600E_ethanol and DMSO_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=ethanol	treatment=DMSO									
SRX6596845	EGR1	Others	Fibroblasts	source_name=hBJV600E_doxycycline and DMSO_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=doxycycline 1000 ng mL-1	treatment=DMSO									
SRX6596846	EGR1	Others	Fibroblasts	source_name=hBJV600E_doxycycline and DMSO_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=doxycycline 1000 ng mL-1	treatment=DMSO									
SRX6596847	EGR1	Others	Fibroblasts	source_name=hBJV600E_doxycycline and DMSO_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=doxycycline 1000 ng mL-1	treatment=DMSO									
SRX6596848	EGR1	Others	Fibroblasts	source_name=hBJV600E_doxycycline and clobetasol_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=doxycycline 1000 ng mL-1	treatment=clobetasol 2nM									
SRX6596849	EGR1	Others	Fibroblasts	source_name=hBJV600E_doxycycline and clobetasol_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=doxycycline 1000 ng mL-1	treatment=clobetasol 2nM									
SRX6596850	EGR1	Others	Fibroblasts	source_name=hBJV600E_doxycycline and clobetasol_24 hours	cell line=BJ-hTert-B-RAF-V600E	cell type=human fibroblasts	inducer=doxycycline 1000 ng mL-1	treatment=clobetasol 2nM									
SRX660077	CREBBP	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660078	CREBBP	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660083	PPARG	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660084	PPARG	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660085	PPARG	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660086	PPARG	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660087	KLF11	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660088	KLF11	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660089	KLF11	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX660090	KLF11	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX6602369	ARNTL	Neural	Neural Stem Cells	source_name=Non-malignant Neural Stem Cell	tumor type=n/a												
SRX6602370	ARNTL	Neural	Neural Stem Cells	source_name=Non-malignant Neural Stem Cell	tumor type=n/a												
SRX6657886	ATF6	Blood	Treg	source_name=FACS-sorted memory Tregs	tag=FACS-sorted memory Tregs from blood	affectedstatus=denovo Autoimmune hepatitis											
SRX6657888	ATF6	Blood	Treg	source_name=FACS-sorted memory Tregs	tag=FACS-sorted memory Tregs from blood	affectedstatus=Acute rejection											
SRX6657892	ATF6	Blood	Treg	source_name=FACS-sorted memory Tregs	tag=FACS-sorted memory Tregs from blood	affectedstatus=Auto-immune hepatitis											
SRX6657894	ATF6	Blood	Treg	source_name=FACS-sorted memory Tregs	tag=FACS-sorted memory Tregs from blood	affectedstatus=Liver transplanted control											
SRX6763471	CHD4	Blood	Macrophages	source_name=DIFFERENTIATING MACROPHAGE	cell type=DIFFERENTIATING MACROPHAGE	treatment=differentiating macrophages (day 4 of GM-CSF treatment)											
SRX6763472	CHD4	Blood	Macrophages	source_name=DIFFERENTIATING MACROPHAGE	cell type=DIFFERENTIATING MACROPHAGE	treatment=differentiating macrophages (day 4 of GM-CSF treatment)											
SRX6763473	EGR1	Blood	Macrophages	source_name=DIFFERENTIATING MACROPHAGE	cell type=DIFFERENTIATING MACROPHAGE	treatment=differentiating macrophages (day 1 of GM-CSF treatment)											
SRX6763474	EGR1	Blood	Macrophages	source_name=DIFFERENTIATING MACROPHAGE	cell type=DIFFERENTIATING MACROPHAGE	treatment=differentiating macrophages (day 2 of GM-CSF treatment)											
SRX6763475	EGR1	Blood	Macrophages	source_name=DIFFERENTIATING MACROPHAGE	cell type=DIFFERENTIATING MACROPHAGE	treatment=differentiating macrophages (day 3 of GM-CSF treatment)											
SRX6763476	EGR1	Blood	Macrophages	source_name=DIFFERENTIATING MACROPHAGE	cell type=DIFFERENTIATING MACROPHAGE	treatment=differentiating macrophages (day 4 of GM-CSF treatment)											
SRX6780853	CREB1	Neural	Frontal cortex	"source_name=human fetal frontal cortex FB08, CREB1 ChIP, biorep 1, nontruncated reads"	tissue=human GW19 fetal frontal cortex tissue	time post-kcl stimulation=NA	biological replicate=1	technical replicate=1	chip epitope=CREB								
SRX6780854	CREB1	Neural	Frontal cortex	"source_name=human fetal frontal cortex FB25, CREB1 ChIP, biorep 2, reads truncated to 70bp"	tissue=human GW23 fetal frontal cortex tissue	time post-kcl stimulation=NA	biological replicate=2	technical replicate=1	chip epitope=CREB								
SRX6780855	CRTC1	Neural	Frontal cortex	"source_name=human fetal frontal cortex FB08, CRTC1 ChIP, biorep 1, reads truncated to 70bp"	tissue=human GW19 fetal frontal cortex tissue	time post-kcl stimulation=NA	biological replicate=1	technical replicate=1	chip epitope=CRTC1								
SRX6780856	CRTC1	Neural	Frontal cortex	"source_name=human fetal frontal cortex FB25, CRTC1 ChIP, biorep 2, reads truncated to 70bp"	tissue=human GW23 fetal frontal cortex tissue	time post-kcl stimulation=NA	biological replicate=2	technical replicate=1	chip epitope=CRTC1								
SRX6780861	CREB1	Neural	Frontal cortex	"source_name=human fetal frontal cortex FB08, S133 phophorylation of CREB1 ChIP, biorep 1, nontruncated reads"	tissue=human GW19 fetal frontal cortex tissue	time post-kcl stimulation=NA	biological replicate=1	technical replicate=1	chip epitope=pCREB								
SRX6780862	CREB1	Neural	Frontal cortex	"source_name=human fetal frontal cortex FB25, S133 phophorylation of CREB1 ChIP, biorep 2, reads truncated to 70bp"	tissue=human GW23 fetal frontal cortex tissue	time post-kcl stimulation=NA	biological replicate=2	technical replicate=1	chip epitope=pCREB								
SRX6813406	ATF4	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in arginine-free RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX6813408	ATF4	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in low (20uM) arginine RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX6813410	CEBPB	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in arginine-free RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX6857972	PGR	Uterus	Myometrium	source_name=Myometrium	Stage=38-42 weeks estimated gestational age	tissue=myometrial tissue											
SRX6857973	PGR	Uterus	Myometrium	source_name=Myometrium	Stage=38-42 weeks estimated gestational age	tissue=myometrial tissue											
SRX6860609	TFEB	Cardiovascular	Aortic smooth muscle cells	source_name=Human aortic smooth muscle cells	passages=5	cell type=vascular smooth muscle cells											
SRX6913093	BRD2	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=DMSO	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913094	BRD2	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=iBET-BD1	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913095	BRD2	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=iBET-BD2	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913096	BRD3	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=DMSO	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913097	BRD3	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=iBET-BD1	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913098	BRD3	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=iBET-BD2	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913100	BRD4	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=I-BET-151	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913101	BRD4	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=iBET-BD1	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6913102	BRD4	Blood	CD4+ T cells	source_name=TcellsCD4+	cell line=none	inhibitor treatment=iBET-BD2	stimulation=anti-CD3/CD28	stimulation protocol=4 hours of anti CD3/CD8 after 30 minutes of pretreatment	replicate=1								
SRX6944145	FOS	Blood	CD4+ T cells	source_name=E5h_GFP_cFOS_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 and -CD28 antibodies	passages=Primary	donor=healthy donor	biowardrobe id=8041								
SRX6944146	FOS	Blood	CD4+ T cells	source_name=E5h_A-FOS_cFOS_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 and -CD28 antibodies	passages=Primary	donor=healthy donor	biowardrobe id=8042								
SRX6944147	JUNB	Blood	CD4+ T cells	source_name=E5h_GFP_JunB_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 and -CD28 antibodies	passages=Primary	donor=healthy donor	biowardrobe id=8043								
SRX6944148	JUNB	Blood	CD4+ T cells	source_name=E5h_A-FOS_JunB_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 and -CD28 antibodies	passages=Primary	donor=healthy donor	biowardrobe id=8044								
SRX6944150	FOS	Blood	CD4+ T cells	source_name=E5h_cFOS_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 and -CD28 antibodies	passages=Primary	donor=healthy donor	biowardrobe id=8032								
SRX6944151	FOS	Blood	CD4+ T cells	source_name=A5h_cFOS_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 antibody	passages=Primary	donor=healthy donor	biowardrobe id=8033								
SRX6944153	JUNB	Blood	CD4+ T cells	source_name=E5h_JunB_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 and -CD28 antibodies	passages=Primary	donor=healthy donor	biowardrobe id=8035								
SRX6944154	JUNB	Blood	CD4+ T cells	source_name=A5h_JunB_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 antibody	passages=Primary	donor=healthy donor	biowardrobe id=8036								
SRX6944156	NFATC2	Blood	CD4+ T cells	source_name=E5h_NFAT1_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 and -CD28 antibodies	passages=Primary	donor=healthy donor	biowardrobe id=8038								
SRX6944157	NFATC2	Blood	CD4+ T cells	source_name=A5h_NFAT1_060619_with_flyDNA	cell type=Primary naive CD4 T cells from peripheral blood	treatment=Act. 5 h with anti-CD3 antibody	passages=Primary	donor=healthy donor	biowardrobe id=8057								
SRX6969885	CHD6	Cardiovascular	Cardiomyocytes	source_name=cardiomyocytes	cell type=CHD6 heterozygous mutant	passages=D9											
SRX700518	BRD4	Epidermis	Dermal fibroblast	source_name=WT fibroblasts_BRD4_ChIPSeq	cell type source=age-matched control wild-type individual 1 (TRS-WT)	"cell type=WT dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-WT1)"											
SRX700519	BRD4	Epidermis	Dermal fibroblast	source_name=WT fibroblasts_BRD4_ChIPSeq	cell type source=age-matched control wild-type individual 2 (TRS-WT)	"cell type=WT dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-WT1)"											
SRX700520	BRD4	Epidermis	Dermal fibroblast	source_name=HG fibroblasts_BRD4_ChIPSeq	cell type source=HGPS patient 1 (TRS-HGPS)	"cell type=HGPS dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-HGPS1)"											
SRX700521	BRD4	Epidermis	Dermal fibroblast	source_name=HG fibroblasts_BRD4_ChIPSeq	cell type source=HGPS patient 2 (TRS-HGPS)	"cell type=HGPS dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-HGPS1)"											
SRX7015671	RNF2	Others	Fibroblasts	source_name=CRL7250 (FIbroblast)	cell type=FIbroblast	cell line=CRL7250											
SRX7031580	EGR1	Blood	CD34+	source_name=CD34+ cells	cell type=CD34+ cells	treatment=CD34+ cells											
SRX7031581	EGR1	Blood	Monocytes	source_name=DIFFERENTIATING MONOCYTES	cell type=DIFFERENTIATING MONOCYTES	treatment=differentiating CD34 into monocytes (day 3)											
SRX7031582	EGR1	Blood	Monocytes	source_name=DIFFERENTIATING MONOCYTES	cell type=DIFFERENTIATING MONOCYTES	treatment=differentiating CD34 into monocytes (day 5)											
SRX7031583	EGR1	Blood	Monocytes	source_name=DIFFERENTIATING MONOCYTES	cell type=DIFFERENTIATING MONOCYTES	treatment=differentiating CD34 into monocytes (day 14)											
SRX707368	EZH2	Neural	Neural Stem Cells	source_name=whole cell	cell type=neural stem cell (NSC)	cell cycle stage=asynchronization											
SRX7086149	HNF1A	Epidermis	Skin fibroblasts	source_name=human skin fibroblast	cell type=hiPSC-derived pancreatic endocrine progenitor	genotype=Wild Type											
SRX7086153	HNF1A	Epidermis	Skin fibroblasts	source_name=human skin fibroblast	cell type=hiPSC-derived pancreatic endocrine progenitor	genotype=H126D+/-											
SRX7141987	O-GlcNAc	Adipocyte	Adipocytes	source_name=human in vitro differentiated adipocyte day 11 treated with 0.5 mM of glutamine during differentiation	cell type=in vitro differentiated adipocyte	passages=15-18	treatment=Low glutamine										
SRX7141988	O-GlcNAc	Adipocyte	Adipocytes	source_name=human in vitro differentiated adipocyte day 11 treated with 0.5 mM of glutamine during differentiation	cell type=in vitro differentiated adipocyte	passages=15-18	treatment=Low glutamine										
SRX7141989	O-GlcNAc	Adipocyte	Adipocytes	source_name=human in vitro differentiated adipocyte day 11 treated with 0.5 mM of glutamine during differentiation	cell type=in vitro differentiated adipocyte	passages=15-18	treatment=Low glutamine										
SRX7141990	O-GlcNAc	Adipocyte	Adipocytes	source_name=human in vitro differentiated adipocyte day 11 treated with 10 mM of glutamine during differentiation	cell type=in vitro differentiated adipocyte	passages=15-18	treatment=High glutamine										
SRX7141991	O-GlcNAc	Adipocyte	Adipocytes	source_name=human in vitro differentiated adipocyte day 11 treated with 10 mM of glutamine during differentiation	cell type=in vitro differentiated adipocyte	passages=15-18	treatment=High glutamine										
SRX7141992	O-GlcNAc	Adipocyte	Adipocytes	source_name=human in vitro differentiated adipocyte day 11 treated with 10 mM of glutamine during differentiation	cell type=in vitro differentiated adipocyte	passages=15-18	treatment=High glutamine										
SRX716944	NR3C1	Blood	Macrophages	source_name=human monoycte derived macrophages	pooled=yes	fully anonymized=yes	cell type=human monoycte derived macrophages										
SRX7214021	KLF3	Epidermis	Keratinocytes	source_name=Human epidermal keratinocyte	tissue=Neonatal foreskin	cell type=primary keratinocytes											
SRX7214022	KLF3	Epidermis	Keratinocytes	source_name=Human epidermal keratinocyte	tissue=Neonatal foreskin	cell type=primary keratinocytes											
SRX7214024	CREBBP	Epidermis	Keratinocytes	source_name=Human epidermal keratinocyte	tissue=Neonatal foreskin	cell type=primary keratinocytes											
SRX7214026	CREBBP	Epidermis	Keratinocytes	source_name=Human epidermal keratinocyte	tissue=Neonatal foreskin	cell type=primary keratinocytes											
SRX7214027	CREBBP	Epidermis	Keratinocytes	source_name=Human epidermal keratinocyte	tissue=Neonatal foreskin	cell type=primary keratinocytes											
SRX7223095	EGR1	Uterus	Endometrial stromal cells	source_name=t-HESC cell line	cell line=t-HESC												
SRX7277172	LMNA	Others	Fibroblasts	source_name=AG11498 HGPS fibroblast	lmna genotype=LMNA G608G	transgene=No	cell sorting=No sorting										
SRX7277174	LMNA	Others	Fibroblasts	source_name=AG11498 HGPS fibroblast	lmna genotype=LMNA G608G	transgene=No	cell sorting=No sorting										
SRX7277179	JUN	Others	Fibroblasts	source_name=AG11498 HGPS fibroblast	lmna genotype=LMNA G608G	transgene=No	cell sorting=No sorting										
SRX735289	TBX21	Blood	Th1 Cells	source_name=In vitro differentiated Th1 cells	cell type=Th1	treatment/agent=PMA/ionomycin											
SRX7428070	XBP1	Blood	Plasmablasts	source_name=Peripheral blood	cell type=Day6 Plasmablast												
SRX7428073	CTCF	Blood	Memory B cells	source_name=Peripheral blood	"cell type=Day6 Plasmablast (memory B cell, CD23 negatively selected)"												
SRX7428079	IRF4	Blood	Memory B cells	source_name=Peripheral blood	"cell type=Day6 Plasmablast (memory B cell, CD23 negatively selected)"												
SRX7509288	CTCF	Lung	Lung	dev_stage=adult	tissue=upper lobe of left lung	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB									
SRX7509343	CTCF	Others	Thyroid Gland	dev_stage=adult	tissue=thyroid gland	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB									
SRX7509482	CTCF	Muscle	Gastrocnemius medialis	dev stage=adult	sample type=tissue	donor ID=ENCDO845WKR	age=37 year	tissue=gastrocnemius medialis									
SRX751297	MED1	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX751298	MED1	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX751299	MED1	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX751300	MED1	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	source_name=human adipose-derived stem cells	cell line=hMADS-3	cell type=human adipose-derived stem cells											
SRX753312	JUNB	Epidermis	Keratinocytes	source_name=keratinocytes	cell type=human neonatal keratincoytes	passage=Passage 3											
SRX7584817	ATF4	Blood	Erythroblasts	source_name=Primary_erythroblast_ATF4	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation=Day 11										
SRX7584818	ATF4	Blood	Erythroblasts	source_name=Primary_erythroblast_ATF4	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation=Day 11										
SRX760971	LMNA	Adipocyte	Pre-adipocytes	"source_name=Pre-adipocytes from liposuction material, cultured, 9 days after adipogenic stimulation (Day 9)."	passages=Cells in passage 5-7	initial cell type=pre-adipocytes	"cell differentiation status=Non-proliferating, differentiated for 9 days"										
SRX7642859	RBM39	Breast	Mammary epithelial cells	source_name=mammary gland; derived from metastatic site: pleural effusion	cell type=Epithelial	passages=7th Passage											
SRX7642860	RBM39	Breast	Mammary epithelial cells	source_name=mammary gland; derived from metastatic site: pleural effusion	cell type=Epithelial	passages=8th Passage											
SRX7642861	KMT2A	Breast	Mammary epithelial cells	source_name=mammary gland; derived from metastatic site: pleural effusion	cell type=Epithelial	passages=9th Passage											
SRX7642862	KMT2A	Breast	Mammary epithelial cells	source_name=mammary gland; derived from metastatic site: pleural effusion	cell type=Epithelial	passages=10th Passage											
SRX7730449	RB1	Bone	Osteoblasts	source_name=osteoblast	cell=osteoblast	treatment=NA	time point=NA	genotype=Corrected RB1 mutation									
SRX7756148	VDR	Blood	Dendritic Cells	source_name=tolerogenic monocyte-derivated Dendritic Cells (TL)	"treatment=1,25-dihydroxyvitamin D3"												
SRX7756149	VDR	Blood	Dendritic Cells	source_name=tolerogenic monocyte-derivated Dendritic Cells (TL)	"treatment=1,25-dihydroxyvitamin D3"												
SRX7805700	NFATC1	Others	Mesenchymal stem cells	source_name=Immunoprecipitated chromatin of NFATC1 RNAi AhBMSCs	age=adult	cell type=bone marrow stem cells	transfection=NFATC1 RNAi										
SRX7805701	NFATC1	Others	Mesenchymal stem cells	source_name=Immunoprecipitated chromatin of NFATC1 RNAi AhBMSCs	age=adult	cell type=bone marrow stem cells	transfection=NFATC1 RNAi										
SRX7805702	NFATC1	Others	Mesenchymal stem cells	source_name=Immunoprecipitated chromatin of NFATC1 RNAi AhBMSCs	age=adult	cell type=bone marrow stem cells	transfection=NFATC1 RNAi										
